490.69,-335.628,397.147,-0.004,0,1.939,2.1,0.15,-0.15,1
490.69,-335.628,397.147,-0.004,0,1.963,2.1,0.15,-0.15,1
490.69,-335.628,397.147,-0.004,0,1.962,2.1,0.15,-0.15,1
490.69,-335.628,397.147,-0.004,0,1.943,2.1,0.15,-0.15,1
490.69,-335.628,397.147,-0.004,0,1.978,2.1,0.15,-0.15,1
490.69,-335.628,397.147,-0.004,0,1.964,2.1,0.15,-0.15,1
490.69,-335.628,397.147,-0.004,0,1.971,2.1,0.15,-0.15,2
490.69,-335.628,397.147,-0.004,0,1.986,2.1,0.15,-0.15,2
490.69,-335.628,397.147,-0.004,0,1.966,2.1,0.15,-0.15,2
490.69,-335.628,397.147,-0.004,0,1.998,2.1,0.15,-0.15,2
490.69,-335.628,397.147,-0.004,0,2.057,2.1,0.15,-0.15,2
490.69,-335.628,397.147,-0.004,0,1.972,2.1,0.15,-0.15,2
490.69,-335.628,397.147,-0.004,0,1.989,2.1,0.15,-0.15,3
490.69,-335.628,397.147,-0.004,0,1.975,2.1,0.15,-0.15,3
490.69,-335.628,397.147,-0.004,0,1.963,2.1,0.15,-0.15,3
490.69,-335.628,397.147,-0.004,0,2.043,2.1,0.15,-0.15,3
490.69,-335.628,397.147,-0.004,0,1.982,2.1,0.15,-0.15,3
490.69,-335.628,397.147,-0.004,0,1.967,2.1,0.15,-0.15,3
490.69,-335.628,397.147,-0.004,0,1.986,2.1,0.15,-0.15,3
490.69,-335.628,397.147,-0.004,0,1.964,2.1,0.15,-0.15,3
490.69,-335.628,397.147,-0.004,0,1.978,2.1,0.15,-0.15,3
490.69,-335.628,397.147,-0.004,0,1.966,2.1,0.15,-0.15,3
490.69,-335.628,397.147,-0.004,0,1.984,2.1,0.15,-0.15,3
490.69,-335.628,397.147,-0.004,0,1.955,2.1,0.15,-0.15,3
490.69,-335.628,397.147,-0.004,0,2.033,2.1,0.15,-0.15,3
490.69,-335.628,397.147,-0.004,0,2.022,2.1,0.15,-0.15,3
490.69,-335.628,397.147,-0.004,0,2.043,2.1,0.15,-0.15,3
